"PROPERTY NAME","STREET","CITY","STATE","ZIP","COUNTY","PROPERTY SLUG","DIVISION","LAUNCH TYPE","LATITUDE","LONGITUDE","URL","COMMSOFT ID","TOTAL UNITS","SERVICE PROVIDER","VIDEO TECHNOLOGY","TV TYPE","INTERNET TYPE","PHONE TYPE","SECURITY TYPE","VOICE TYPE","2ND ONT/SERVICE PT. INTERNET 500+","PREVIOUS PROVIDER","HAS ANALOG","PROPERTY MANAGER","PROPERTY POWER","HEADEND UP","RESTORATION NOTES","REGION","FLOW THROUGH"
"","","","","","","","","","","","https://legacy.gethotwired.com/","","","","","None","None","None","None","None","BLANK","","","","","","","","NO"
"","","","","","","","","","","","https://legacy.gethotwired.com/","","","","","None","None","None","None","None","BLANK","","","Customer Service","","","","","NO"
"","","","","","","","","","","","https://legacy.gethotwired.com/","","","","","None","None","None","None","None","BLANK","","","Customer Service","","","","","NO"
"1 Hotel and Residences","2399 Collins Ave","Miami Beach","FL","33140","Miami-Dade","1hotelandresidences","Fision Home","New Construction","25.7989441","-80.12684","https://legacy.gethotwired.com/1hotelandresidences","F0392","165","IPTV Miami","Fision TV (Media Room)","Bulk","Bulk","Retail","Retail","Broadsoft","BLANK","","","Nicklas Boscan","","","","12-Miami Dade","YES"
"1 Hotel South Beach","2341 Collins Avenue","Miami Beach","FL","33139","Miami-Dade","1hotelsouthbeach","Fision Stay","Conversion","","","https://legacy.gethotwired.com/1hotelsouthbeach","F0391","411","IPTV Miami","Fision TV (Media Room)","Bulk","Bulk","None","None","None","BLANK","","","Sheikera Coutain","","","","12-Miami Dade","YES"
"1000 Museum","1000 Biscayne Blvd","Miami","FL","33132","Miami-Dade","1000museum","Fision Home","New Construction","","","https://legacy.gethotwired.com/1000museum","F0628","84","IPTV Miami","Fision TV (Media Room)","Bulk","Bulk","Bulk","Retail","Broadsoft","NO","","","Lisa Fernandez","","","","12-Miami Dade","YES"
"101 Via Mizner","101 E. Camino Real","Boca Raton","FL","33432","Palm Beach","101viamizner","Fision Home","New Construction","26.3410687","-80.0862852","https://legacy.gethotwired.com/101viamizner","F0472","366","IPTV West Palm Beach","Fision TV (Media Room)","Bulk","Bulk","Retail","Retail","Broadsoft","NO","","","Matthew McCurry","","","","10-Palm Beach & TGTC","NO"
"1100 Millecento","1100 S. Miami Avenue","Miami","FL","33131","Miami-Dade","1100millecento","Fision Home","New Construction","25.763224","-80.193432","https://legacy.gethotwired.com/1100millecento","F0378","382","IPTV Miami","Fision TV (Media Room)","Bulk","Retail","Retail","Retail","Broadsoft","NO","","Analog","Daniel Barrera","","","","12-Miami Dade","NO"
"111 First Delray Beach","111 SE 1st Ave","Delray Beach","FL","33483","Palm Beach","111firstdelraybeach","Fision Home","New Construction","26.4593191","-80.0720245","https://legacy.gethotwired.com/111firstdelraybeach","F0536","70","IPTV West Palm Beach","Fision TV (Media Room)","Bulk","Bulk","Retail","Retail","Broadsoft","NO","","","Louis Masumbu","","","","10-Palm Beach & TGTC","YES"
"1110 NW 7th St - Propolis","1110 NW 7th St","Miami","FL","33136","Miami-Dade","1110nw7thst-propolis","Fision Home","New Construction","","","https://legacy.gethotwired.com/1110nw7thst-propolis","F1500","14","FTV+ Miami","Fision TV+","Retail","Bulk","Retail","Retail","Broadsoft","NO","","","Customer Service","","","","12-Miami Dade","YES"
